instrument,class,precursorAdduct,fragment,ppmMassRange,group,ParKey,ParValue
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,5,0001269,meanlog,5.14042260041896
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,5,0001269,meanlog,5.63401953262152
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,5,0001269,meanlog,5.65089365400099
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,5,0001269,meanlog,5.58745599250009
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,5,0001269,meanlog,5.62077692281357
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,5,0001269,meanlog,5.58365170143981
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,5,0001269,meanlog,5.5841657044644
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,5,0001269,meanlog,3.69415429599659
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,5,0001269,meanlog,4.58963459363832
MS:1002523,10-HDoHE,[M-H]1-,precursor,5,0001269,meanlog,3.51116740447943
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,precursor,5,0001269,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,5,0001269,scale,6.97920077247942
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,5,0001269,scale,11.973607531995
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,5,0001269,scale,5.10817266112892
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,5,0001269,scale,2.71423219532775
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,5,0001269,scale,0.582145027378379
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,5,0001269,scale,3.77451196973941
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,5,0001269,scale,0.73609051996779
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,5,0001269,scale,1.71282000022205
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,5,0001269,scale,19.8438917723263
MS:1002523,10-HDoHE,[M-H]1-,precursor,5,0001269,scale,4.31113822531541
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,5,0001269,sdlog,0.109690230179355
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,5,0001269,sdlog,0.0475073984276128
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,5,0001269,sdlog,0.0485442574630334
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,5,0001269,sdlog,0.0438754304475245
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,5,0001269,sdlog,0.0371569170586196
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,5,0001269,sdlog,0.0368886657386389
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,5,0001269,sdlog,0.0354957757330685
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,5,0001269,sdlog,0.169779681725921
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,5,0001269,sdlog,0.198785167153501
MS:1002523,10-HDoHE,[M-H]1-,precursor,5,0001269,sdlog,0.147550662563466
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,5,0001269,shift,108.850117918705
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 299.2378,5,0001269,shift,250
MS:1002523,10-HDoHE,[M-H]1-,m/z 325.2171,5,0001269,shift,26.8980006133963
MS:1002523,10-HDoHE,[M-H]1-,m/z 59.0139,5,0001269,shift,33.810887324937
MS:1002523,10-HDoHE,[M-H]1-,precursor,5,0001269,shift,20.8128929552787
MS:1002523,11-HDoHE,[M-H]1-,m/z 121.1022,5,0001275,meanlog,4.57017115761201
MS:1002523,11-HDoHE,[M-H]1-,m/z 149.1333,5,0001275,meanlog,5.62280480080941
MS:1002523,11-HDoHE,[M-H]1-,m/z 165.0919,5,0001275,meanlog,5.61010551192554
MS:1002523,11-HDoHE,[M-H]1-,m/z 194.0946,5,0001275,meanlog,5.59886789879406
MS:1002523,11-HDoHE,[M-H]1-,m/z 281.2273,5,0001275,meanlog,5.60316309813192
MS:1002523,11-HDoHE,[M-H]1-,m/z 299.2378,5,0001275,meanlog,5.59535051627544
MS:1002523,11-HDoHE,[M-H]1-,m/z 325.2171,5,0001275,meanlog,5.58068441024135
MS:1002523,11-HDoHE,[M-H]1-,m/z 59.0139,5,0001275,meanlog,4.41777193099577
MS:1002523,11-HDoHE,[M-H]1-,m/z 95.0502,5,0001275,meanlog,4.46118727036395
MS:1002523,11-HDoHE,[M-H]1-,precursor,5,0001275,meanlog,3.59695078380674
MS:1002523,11-HDoHE,[M-H]1-,m/z 121.1022,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 149.1333,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 165.0919,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 194.0946,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 281.2273,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 299.2378,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 325.2171,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 59.0139,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 95.0502,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,precursor,5,0001275,model,dlnormPar
MS:1002523,11-HDoHE,[M-H]1-,m/z 121.1022,5,0001275,scale,7.25160233791126
MS:1002523,11-HDoHE,[M-H]1-,m/z 149.1333,5,0001275,scale,2.03504215827797
MS:1002523,11-HDoHE,[M-H]1-,m/z 165.0919,5,0001275,scale,2.32187170685043
MS:1002523,11-HDoHE,[M-H]1-,m/z 194.0946,5,0001275,scale,0.766691065454265
MS:1002523,11-HDoHE,[M-H]1-,m/z 281.2273,5,0001275,scale,1.47857782881017
MS:1002523,11-HDoHE,[M-H]1-,m/z 299.2378,5,0001275,scale,0.369016249089302
MS:1002523,11-HDoHE,[M-H]1-,m/z 325.2171,5,0001275,scale,0.662473248585593
MS:1002523,11-HDoHE,[M-H]1-,m/z 59.0139,5,0001275,scale,32.8413784361372
MS:1002523,11-HDoHE,[M-H]1-,m/z 95.0502,5,0001275,scale,9.07703566516987
MS:1002523,11-HDoHE,[M-H]1-,precursor,5,0001275,scale,6.61386891681035
MS:1002523,11-HDoHE,[M-H]1-,m/z 121.1022,5,0001275,sdlog,0.125814377701008
MS:1002523,11-HDoHE,[M-H]1-,m/z 149.1333,5,0001275,sdlog,0.0482106367285046
MS:1002523,11-HDoHE,[M-H]1-,m/z 165.0919,5,0001275,sdlog,0.0487032424346105
MS:1002523,11-HDoHE,[M-H]1-,m/z 194.0946,5,0001275,sdlog,0.0333867745618424
MS:1002523,11-HDoHE,[M-H]1-,m/z 281.2273,5,0001275,sdlog,0.0379494254632961
MS:1002523,11-HDoHE,[M-H]1-,m/z 299.2378,5,0001275,sdlog,0.0337917541720419
MS:1002523,11-HDoHE,[M-H]1-,m/z 325.2171,5,0001275,sdlog,0.0358432512069397
MS:1002523,11-HDoHE,[M-H]1-,m/z 59.0139,5,0001275,sdlog,0.371911619349812
MS:1002523,11-HDoHE,[M-H]1-,m/z 95.0502,5,0001275,sdlog,0.279105947894583
MS:1002523,11-HDoHE,[M-H]1-,precursor,5,0001275,sdlog,0.140524411798928
MS:1002523,11-HDoHE,[M-H]1-,m/z 121.1022,5,0001275,shift,68.5021528820786
MS:1002523,11-HDoHE,[M-H]1-,m/z 149.1333,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 165.0919,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 194.0946,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 281.2273,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 299.2378,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 325.2171,5,0001275,shift,250
MS:1002523,11-HDoHE,[M-H]1-,m/z 59.0139,5,0001275,shift,2.09686186470709
MS:1002523,11-HDoHE,[M-H]1-,m/z 95.0502,5,0001275,shift,22.5244388991476
MS:1002523,11-HDoHE,[M-H]1-,precursor,5,0001275,shift,23.7805462940482
MS:1002523,11-HETE,[M-H]1-,m/z 149.0970,5,0001289,meanlog,5.30130699633774
MS:1002523,11-HETE,[M-H]1-,m/z 167.1076,5,0001289,meanlog,5.50730648409603
MS:1002523,11-HETE,[M-H]1-,m/z 195.1025,5,0001289,meanlog,4.80048728673451
MS:1002523,11-HETE,[M-H]1-,m/z 257.2273,5,0001289,meanlog,5.6306087805807
MS:1002523,11-HETE,[M-H]1-,m/z 275.2377,5,0001289,meanlog,5.62016509078502
MS:1002523,11-HETE,[M-H]1-,m/z 301.2173,5,0001289,meanlog,5.6094298499317
MS:1002523,11-HETE,[M-H]1-,m/z 59.0139,5,0001289,meanlog,4.76567744299976
MS:1002523,11-HETE,[M-H]1-,precursor,5,0001289,meanlog,3.21228835535615
MS:1002523,11-HETE,[M-H]1-,m/z 149.0970,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 167.1076,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 195.1025,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 257.2273,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 275.2377,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 301.2173,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 59.0139,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,precursor,5,0001289,model,dlnormPar
MS:1002523,11-HETE,[M-H]1-,m/z 149.0970,5,0001289,scale,6.11082929854824
MS:1002523,11-HETE,[M-H]1-,m/z 167.1076,5,0001289,scale,23.9596339104883
MS:1002523,11-HETE,[M-H]1-,m/z 195.1025,5,0001289,scale,0.317684818052718
MS:1002523,11-HETE,[M-H]1-,m/z 257.2273,5,0001289,scale,0.353908464094595
MS:1002523,11-HETE,[M-H]1-,m/z 275.2377,5,0001289,scale,0.479927988771887
MS:1002523,11-HETE,[M-H]1-,m/z 301.2173,5,0001289,scale,0.860015339040267
MS:1002523,11-HETE,[M-H]1-,m/z 59.0139,5,0001289,scale,21.9241309042817
MS:1002523,11-HETE,[M-H]1-,precursor,5,0001289,scale,12.5955830219894
MS:1002523,11-HETE,[M-H]1-,m/z 149.0970,5,0001289,sdlog,0.0699706869183672
MS:1002523,11-HETE,[M-H]1-,m/z 167.1076,5,0001289,sdlog,0.0600748425900078
MS:1002523,11-HETE,[M-H]1-,m/z 195.1025,5,0001289,sdlog,0.0849491497400607
MS:1002523,11-HETE,[M-H]1-,m/z 257.2273,5,0001289,sdlog,0.0384850478252459
MS:1002523,11-HETE,[M-H]1-,m/z 275.2377,5,0001289,sdlog,0.0339588704717906
MS:1002523,11-HETE,[M-H]1-,m/z 301.2173,5,0001289,sdlog,0.0374448650983563
MS:1002523,11-HETE,[M-H]1-,m/z 59.0139,5,0001289,sdlog,0.181135418114893
MS:1002523,11-HETE,[M-H]1-,precursor,5,0001289,sdlog,0.296861545075113
MS:1002523,11-HETE,[M-H]1-,m/z 149.0970,5,0001289,shift,146.998135301477
MS:1002523,11-HETE,[M-H]1-,m/z 167.1076,5,0001289,shift,212.989852245571
MS:1002523,11-HETE,[M-H]1-,m/z 195.1025,5,0001289,shift,91.8840717524801
MS:1002523,11-HETE,[M-H]1-,m/z 257.2273,5,0001289,shift,250
MS:1002523,11-HETE,[M-H]1-,m/z 275.2377,5,0001289,shift,250
MS:1002523,11-HETE,[M-H]1-,m/z 301.2173,5,0001289,shift,250
MS:1002523,11-HETE,[M-H]1-,m/z 59.0139,5,0001289,shift,44.4924758061677
MS:1002523,11-HETE,[M-H]1-,precursor,5,0001289,shift,10.2820098531249
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,5,0000157,meanlog,4.66364333836255
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,5,0000157,meanlog,3.9954600610881
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,5,0000157,meanlog,3.94762060085542
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,5,0000157,meanlog,3.7861201146083
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,5,0000157,meanlog,5.61246706168821
MS:1002523,"11,12-DHET",[M-H]1-,m/z 58.0057,5,0000157,meanlog,4.77139902620856
MS:1002523,"11,12-DHET",[M-H]1-,precursor,5,0000157,meanlog,5.57171141702405
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 58.0057,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,precursor,5,0000157,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,5,0000157,scale,3.43004350523564
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,5,0000157,scale,15.9616493653979
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,5,0000157,scale,1.91912596848272
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,5,0000157,scale,1.15659510548076
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,5,0000157,scale,0.788800526339134
MS:1002523,"11,12-DHET",[M-H]1-,m/z 58.0057,5,0000157,scale,41.4724493476866
MS:1002523,"11,12-DHET",[M-H]1-,precursor,5,0000157,scale,19.3972950401278
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,5,0000157,sdlog,0.146406741457758
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,5,0000157,sdlog,0.253079458196006
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,5,0000157,sdlog,0.174815229933583
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,5,0000157,sdlog,0.232363243277075
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,5,0000157,sdlog,0.026759589471323
MS:1002523,"11,12-DHET",[M-H]1-,m/z 58.0057,5,0000157,sdlog,0.482652007595764
MS:1002523,"11,12-DHET",[M-H]1-,precursor,5,0000157,sdlog,0.0317553461216679
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,5,0000157,shift,48.9010078825921
