instrument,class,adduct,fragment,ParKey,ParValue
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,meanlog,4.10313116901712
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,scale,0.140234378276546
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,sdlog,0.512948788298359
MS:1002523,10-HDoHE,[M-H]1-,m/z 121.0658,shift,2.97212321271515
MS:1002791,10-HDoHE,[M-H]1-,m/z 121.0658,meanlog,3.66522040780532
MS:1002791,10-HDoHE,[M-H]1-,m/z 121.0658,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 121.0658,scale,0.378218224571498
MS:1002791,10-HDoHE,[M-H]1-,m/z 121.0658,sdlog,0.221769347777611
MS:1002791,10-HDoHE,[M-H]1-,m/z 121.0658,shift,20.3215532454019
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,meanlog,4.2083432084337
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,scale,0.123432915281558
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,sdlog,0.141713096314908
MS:1002523,10-HDoHE,[M-H]1-,m/z 153.0920,shift,46.225681548061
MS:1002791,10-HDoHE,[M-H]1-,m/z 153.0920,meanlog,2.30362306661485
MS:1002791,10-HDoHE,[M-H]1-,m/z 153.0920,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 153.0920,scale,0.092471760713017
MS:1002791,10-HDoHE,[M-H]1-,m/z 153.0920,sdlog,0.867745171225787
MS:1002791,10-HDoHE,[M-H]1-,m/z 153.0920,shift,-6.30391461528968
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,meanlog,6.00592140061183
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,scale,0.256958837917249
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,sdlog,2.14486799779158
MS:1002523,10-HDoHE,[M-H]1-,m/z 161.1335,shift,-9.83553378498768
MS:1002791,10-HDoHE,[M-H]1-,m/z 161.1335,meanlog,1.83376755732706
MS:1002791,10-HDoHE,[M-H]1-,m/z 161.1335,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 161.1335,scale,0.0949941588463632
MS:1002791,10-HDoHE,[M-H]1-,m/z 161.1335,sdlog,0.970135031531859
MS:1002791,10-HDoHE,[M-H]1-,m/z 161.1335,shift,-8.37006905616847
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,meanlog,1.93552843077502
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,scale,0.018365115990099
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,sdlog,0.738194422431859
MS:1002523,10-HDoHE,[M-H]1-,m/z 181.0869,shift,-7.65232972367895
MS:1002791,10-HDoHE,[M-H]1-,m/z 181.0869,meanlog,1.50597073890209
MS:1002791,10-HDoHE,[M-H]1-,m/z 181.0869,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 181.0869,scale,0.0391068638814975
MS:1002791,10-HDoHE,[M-H]1-,m/z 181.0869,sdlog,0.709209564268355
MS:1002791,10-HDoHE,[M-H]1-,m/z 181.0869,shift,-7.40774749055403
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,meanlog,4.0689351569638
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,model,dlnormPar
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,scale,0.640347116985054
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,sdlog,0.731090835666477
MS:1002523,10-HDoHE,[M-H]1-,m/z 227.1803,shift,-8.4113563882425
MS:1002791,10-HDoHE,[M-H]1-,m/z 227.1803,meanlog,3.18407042812831
MS:1002791,10-HDoHE,[M-H]1-,m/z 227.1803,model,dlnormPar
MS:1002791,10-HDoHE,[M-H]1-,m/z 227.1803,scale,2
MS:1002791,10-HDoHE,[M-H]1-,m/z 227.1803,sdlog,0.180665816064378
MS:1002791,10-HDoHE,[M-H]1-,m/z 227.1803,shift,20.6767756332133
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,meanlog,4.10313116901712
MS:1002523,10-HDoHE,[M-H]1-,m/z 281.2273,model,dlnormPar
