CV_term,model,min_CE,max_CE,x axis label,modes
MS:1000123,Varian IonSpec instrument model,,,,
MS:1000125,Thermo Fisher Scientific Thermo Finnigan instrument model,,,,
MS:1000139,SCIEX 4000 QTRAP,,,,
MS:1000140,Applied Biosystems 4700 Proteomics Analyzer,,,,
MS:1000143,SCIEX API 150EX,,,,
MS:1000144,SCIEX API 150EX Prep,,,,
MS:1000145,SCIEX API 2000,,,,
MS:1000146,SCIEX API 3000,,,,
MS:1000147,SCIEX API 4000,,,,
MS:1000150,Waters Auto Spec Ultima NT,,,,
MS:1000153,Thermo Finnigan DELTA plusAdvantage,,,,
MS:1000154,Thermo Finnigan DELTAplusXP,,,,
MS:1000158,IonSpec explorer,,,,
MS:1000159,Waters GCT,,,,
MS:1000162,IonSpec HiRes ESI,,,,
MS:1000163,IonSpec HiRes MALDI,,,,
MS:1000164,Waters IsoPrime,,,,
MS:1000165,Waters IsoProbe,,,,
MS:1000166,Waters IsoProbe T,,,,
MS:1000167,Thermo Finnigan LCQ Advantage,,,,
MS:1000168,Thermo Finnigan LCQ Classic,,,,
MS:1000169,Thermo Finnigan LCQ Deca XP Plus,,,,
MS:1000170,Waters M@LDI L,,,,
MS:1000171,Waters M@LDI LR,,,,
MS:1000172,Finnigan MAT MAT253,,,,
MS:1000173,Finnigan MAT MAT900XP,,,,
MS:1000174,Finnigan MAT MAT900XP Trap,,,,
MS:1000175,Finnigan MAT MAT95XP,,,,
MS:1000176,Finnigan MAT MAT95XP Trap,,,,
MS:1000179,Thermo Finnigan neptune,,,,
MS:1000180,Waters NG-5400,,,,
MS:1000181,IonSpec OMEGA,,,,
MS:1000182,IonSpec OMEGA-2001,,,,
MS:1000184,Waters Platform ICP,,,,
MS:1000185,Thermo Finnigan PolarisQ,,,,
MS:1000186,SCIEX proteomics solution 1,,,,
MS:1000187,SCIEX Q TRAP,,,,
MS:1000188,Waters Q-Tof micro,,,,
MS:1000189,Waters Q-Tof Ultima,,,,
MS:1000190,SCIEX QSTAR,,,,
MS:1000191,Waters quattro micro,,,,
MS:1000192,Waters Quattro Ultima,,,,
MS:1000193,Thermo Finnigan Surveyor MSQ,,,,
MS:1000194,SCIEX SymBiot I,,,,
MS:1000195,SCIEX SymBiot XVI,,,,
MS:1000196,Thermo Finnigan TEMPUS TOF,,,,
MS:1000197,Thermo Finnigan TRACE DSQ,,,,
MS:1000198,Thermo Finnigan TRITON,,,,
MS:1000199,Thermo Finnigan TSQ Quantum,,,,
MS:1000200,IonSpec ultima,,,,
MS:1000203,Applied Biosystems Voyager-DE PRO,,,,
MS:1000204,Applied Biosystems Voyager-DE STR,,,,
MS:1000447,Thermo Scientific LTQ,,,,
MS:1000448,Thermo Scientific LTQ FT,,,,
MS:1000449,Thermo Scientific LTQ Orbitrap,,,,
MS:1000450,Thermo Scientific LXQ,,,,
MS:1000467,Agilent 1200 series LC/MSD SL,,,,
MS:1000468,Agilent 6110 Quadrupole LC/MS,,,,
MS:1000469,Agilent 6120A Quadrupole LC/MS,,,,
MS:1000470,Agilent 6130 Quadrupole LC/MS,,,,
MS:1000471,Agilent 6140 Quadrupole LC/MS,,,,
MS:1000472,Agilent 6210 Time-of-Flight LC/MS,,,,
MS:1000473,Agilent 6310 Ion Trap LC/MS,,,,
MS:1000474,Agilent 6320 Ion Trap LC/MS,,,,
MS:1000475,Agilent 6330 Ion Trap LC/MS,,,,
MS:1000476,Agilent 6340 Ion Trap LC/MS,,,,
MS:1000477,Agilent 6410 Triple Quadrupole LC/MS,,,,
MS:1000478,Agilent 1200 series LC/MSD VL,,,,
MS:1000492,Thermo Fisher Scientific Thermo Electron instrument model,,,,
MS:1000493,Thermo Fisher Scientific Finnigan MAT instrument model,,,,
MS:1000494,Thermo Fisher Scientific Thermo Scientific instrument model,,,,
MS:1000554,Thermo Finnigan LCQ Deca,,,,
MS:1000555,Thermo Scientific LTQ Orbitrap Discovery,,,,
MS:1000556,Thermo Scientific LTQ Orbitrap XL,,,,
MS:1000557,Thermo Scientific LTQ FT Ultra,,,,
MS:1000558,Thermo Finnigan GC Quantum,,,,
MS:1000578,Thermo Finnigan LCQ Fleet,,,,
MS:1000602,Shimadzu Shimadzu MALDI-TOF instrument model,,,,
MS:1000603,Shimadzu Shimadzu Scientific Instruments instrument model,,,,
MS:1000604,Shimadzu Scientific Instruments LCMS-IT-TOF,,,,
MS:1000605,Shimadzu Scientific Instruments LCMS-2010EV,,,,
MS:1000606,Shimadzu Scientific Instruments LCMS-2010A,,,,
MS:1000607,Shimadzu MALDI-TOF AXIMA CFR MALDI-TOF,,,,
MS:1000608,Shimadzu MALDI-TOF AXIMA-QIT,,,,
MS:1000609,Shimadzu MALDI-TOF AXIMA-CFR plus,,,,
MS:1000610,Shimadzu MALDI-TOF AXIMA Performance MALDI-TOF/TOF,,,,
MS:1000611,Shimadzu MALDI-TOF AXIMA Confidence MALDI-TOF,,,,
MS:1000612,Shimadzu MALDI-TOF AXIMA Assurance Linear MALDI-TOF,,,,
MS:1000622,Thermo Scientific Surveyor PDA,,,,
MS:1000623,Thermo Scientific Accela PDA,,,,
MS:1000632,Waters Q-Tof Premier,,,,
MS:1000634,Thermo Finnigan DSQ,,,,
MS:1000635,Thermo Scientific ITQ 700,,,,
MS:1000636,Thermo Scientific ITQ 900,,,,
MS:1000637,Thermo Scientific ITQ 1100,,,,
MS:1000638,Thermo Scientific LTQ XL ETD,,,,
MS:1000639,Thermo Scientific LTQ Orbitrap XL ETD,,,,
MS:1000640,Thermo Scientific DFS,,,,
MS:1000641,Thermo Scientific DSQ II,,,,
MS:1000642,Thermo Scientific MALDI LTQ XL,,,,
MS:1000643,Thermo Scientific MALDI LTQ Orbitrap,,,,
MS:1000644,Thermo Scientific TSQ Quantum Access,,,,
MS:1000645,Thermo Scientific Element XR,,,,
MS:1000646,Thermo Scientific Element 2,,,,
MS:1000647,Thermo Scientific Element GD,,,,
MS:1000648,Thermo Scientific GC IsoLink,,,,
MS:1000649,Thermo Scientific Exactive,,,,
MS:1000651,SCIEX 3200 QTRAP,,,,
MS:1000652,SCIEX 4800 Plus MALDI TOF/TOF,,,,
MS:1000653,SCIEX API 3200,,,,
MS:1000654,SCIEX API 5000,,,,
MS:1000655,SCIEX QSTAR Elite,,,,
MS:1000656,SCIEX QSTAR Pulsar,,,,
MS:1000657,SCIEX QSTAR XL,,,,
MS:1000658,Applied Biosystems 4800 Proteomics Analyzer,,,,
MS:1000675,Agilent 6220 Time-of-Flight LC/MS,,,,
MS:1000676,Agilent 6510 Quadrupole Time-of-Flight LC/MS,,,,
MS:1000677,Agilent 6520A Quadrupole Time-of-Flight LC/MS,,,,
MS:1000697,Bruker Daltonics Bruker Daltonics HCT Series,,,,
MS:1000743,Thermo Scientific TSQ Quantum Ultra AM,,,,
MS:1000748,Finnigan MAT SSQ 7000,,,,
MS:1000749,Finnigan MAT TSQ 7000,,,,
MS:1000750,Finnigan MAT TSQ,,,,
