class,nameafter,name,file,charge,baseformula,C,H,O,N,P,S,species-specific
10-HDoHE,m/z 325.2171,m/z 325.2171,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 299.2378,m/z 299.2378,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 281.2273,m/z 281.2273,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 227.1803,m/z 227.1803,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 181.0869,m/z 181.0869,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 161.1335,m/z 161.1335,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 153.0920,m/z 153.0920,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 121.0658,m/z 121.0658,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 301.2172,m/z 301.2172,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 203.1804,m/z 203.1804,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 203.0789,m/z 203.0789,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 179.1076,m/z 179.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 312.2862,m/z 312.2862,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 268.2963,m/z 268.2963,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 214.2494,m/z 214.2494,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 208.1103,m/z 208.1103,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 179.1076,m/z 179.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 319.2281,m/z 319.2281,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 197.1185,m/z 197.1185,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 169.1236,m/z 169.1236,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 167.1079,m/z 167.1079,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 149.0973,m/z 149.0973,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 58.0057,m/z 58.0057,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 330.2971,m/z 330.2971,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 197.1185,m/z 197.1185,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 180.1926,m/z 180.1926,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 167.1079,m/z 167.1079,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 149.0973,m/z 149.0973,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 58.0057,m/z 58.0057,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 325.2171,m/z 325.2171,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 299.2378,m/z 299.2378,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 281.2273,m/z 281.2273,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 194.0946,m/z 194.0946,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 165.0919,m/z 165.0919,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 149.1333,m/z 149.1333,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 121.1022,m/z 121.1022,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 95.0502,m/z 95.0502,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 301.2173,m/z 301.2173,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 275.2377,m/z 275.2377,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 195.1025,m/z 195.1025,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 277.2168,m/z 277.2168,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 195.1390,m/z 195.1390,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 183.1389,m/z 183.1389,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 113.0971,m/z 113.0971,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 281.2419,m/z 281.2419,%,-1,,0,0,0,0,0,0,0
